                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.85333,                0.71259,                 1.1642,                0.32916,                0.84848,                0.33233,                0.21618,                 1.2748,                 2.1597,                 1.5784,              0.0002576,              0.0002576,              0.0002576
                     91,                0.72762,                0.63494,                 1.1404,                0.31892,                0.87879,                0.33799,                0.21441,                 1.3649,                 2.1462,                 1.6457,              0.0002378,              0.0002378,              0.0002378
                     92,                0.69536,                 0.5814,                  1.121,                0.32231,                0.82828,                0.32563,                  0.205,                 1.2594,                 2.1984,                 1.5738,               0.000218,               0.000218,               0.000218
                     93,                0.67339,                0.56015,                 1.1069,                0.31403,                0.86869,                0.35005,                0.22316,                 1.2783,                 2.1213,                 1.5927,              0.0001982,              0.0001982,              0.0001982
                     94,                0.67152,                0.54608,                 1.1003,                0.32883,                0.81655,                0.33887,                0.21086,                 1.2857,                  2.216,                 1.5851,              0.0001784,              0.0001784,              0.0001784
                     95,                0.65802,                0.53469,                 1.0967,                0.32373,                0.86071,                0.33225,                0.21136,                 1.2957,                 2.3284,                 1.6049,              0.0001586,              0.0001586,              0.0001586
                     96,                0.64792,                0.52615,                 1.0882,                0.30955,                0.83838,                0.33954,                0.21361,                 1.2868,                  2.309,                 1.6162,              0.0001388,              0.0001388,              0.0001388
                     97,                0.65047,                0.52258,                  1.073,                0.32625,                0.82828,                0.33007,                 0.2095,                 1.2733,                 2.3888,                 1.6105,               0.000119,               0.000119,               0.000119
                     98,                0.63832,                0.53214,                 1.0937,                0.31251,                0.79893,                0.32696,                0.20902,                 1.2606,                 2.3532,                 1.5885,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.63229,                0.50472,                 1.0808,                0.31401,                0.80808,                0.32762,                0.21209,                 1.2475,                 2.3868,                 1.5778,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.62414,                0.51951,                 1.0704,                0.32314,                0.77778,                0.32618,                0.20977,                 1.2617,                 2.3697,                 1.5915,               5.96e-05,               5.96e-05,               5.96e-05
